pair no.	pair	immediate segmental environment	cost
171	4-a	n_J	0.29
171	J-Z	4_#	0.31
172	^-0	g_l	0.27
173	I-0	b_n	0
173	E-&	n_n	0.19
173	I-0	n_#	0
174	9-a	b_r	0.29
175	4-0	g_n	0.28
176	&-E	b_k	0.2
177	I-i	g_n	0.1
178	.-0	b_r	0.04
179	9-E	b_r	0.29
180	.-t	I_#	0.07
181	1-0	m_.	0.2
181	.-r	1_#	0.03
182	O-5	b_r	0.26
182	r-.	O_n	0.04
183	h-.	d_E	0.07
184	a-9	b_r	0.29
185	T-n	r_I	1
186	a-&	k_r	0.23
186	O-0	r_t	0.25
187	a-O	k_r	0.25
187	r-.	a_k	0.04
188	h-.	t_O	0.07
189	i-7	C_r	0.29
190	a-7	C_r	0.29
190	I-0	m_N	0
190	N-n	I_#	0.14
191	C-S	#_&	0.15
191	?-d	n_0	0.12
191	k-.	0_l	0.18
192	.-l	0_r	0.06
193	k-C	#_a	0.38
194	S-C	#_5	0.19
194	5-2	S_d	0.29
195	S-C	#_^	0.19
195	v-b	^_#	0.18
196	^-a	k_m	0.21
197	d-v	n_0	0.44
197	n-r	0_s	0.31
198	h-k	#_2	0.38
199	.-r	k_&	0.03
200	l-r	k_&	0.13
201	.-r	k_i	0.03
202	i-I	r_m	0.15
202	I-0	m_n	0
202	O-0	n_l	0.25
203	O-^	k_r	0.28
203	r-.	O_J	0.04
204	p-b	m_0	0.14
205	a-&	d_l	0.23
205	r-.	0_z	0.04
205	z-s	r_#	0.07
206	^-&	d_n	0.27
207	b-d	#_i	0.38
208	w-d	#_E	1
209	r-d	#_I	0.29
210	D-d	#_I	0.05
210	s-S	I_I	0.09
211	1-&	v_n	0.22
212	0-&	m_n	0.23
212	n-.	0_t	0.1
213	.-r	d_u	0.03
213	t-d	I_#	0.09
214	I-0	n_T	0
215	t-k	s_#	0.14
216	D-d	#_0	0.05
216	0-I	D_b	0.01
216	U-0	b_k	0.28
217	k-g	i_w	0.1
217	w-.	k_0	0.13
218	h-.	#_6	0.07
219	w-.	#_i	0.13
220	j-.	#_u	0.09
220	u-i	j_s	0.3
220	.-r	0_#	0.03
221	I-E	#_t	0.21
221	t-.	I_s	0.07
221	s-S	t_0	0.09
221	N-n	a_#	0.14
222	k-t	s_0	0.16
222	0-I	k_.	0.01
222	.-k	0_#	0.1
223	0-i	#_j	0.24
223	j-.	0_O	0.09
223	O-0	j_n	0.25
224	9-E	d_r	0.29
224	r-.	9_m	0.04
225	g-t	0_r	0.66
225	r-.	g_&	0.04
225	m-f	&_#	0.44
226	J-g	r_#	0.66
227	.-0	k_l	0.04
228	I-E	#_f	0.21
229	.-f	#_4	0.27
230	a-&	f_r	0.23
230	r-.	a_m	0.04
230	N-n	I_#	0.14
231	I-1	l_n	0.28
232	I-.	n_S	0.11
232	S-C	I_#	0.19
233	T-f	#_I	0.24
234	.-j	f_O	0.1
235	r-l	f_E	0.11
236	9-5	l_r	0.3
236	r-.	9_t	0.04
237	0-.	f_r	0.07
237	r-.	0_5	0.04
238	2-a	f_n	0.27
238	d-t	n_#	0.11
239	d-.	n_z	0.09
239	i-I	z_#	0.15
240	r-.	g_2	0.04
241	0-1	t_l	0.29
242	t-b	a_#	0.44
243	a-I	g_?	0.28
243	?-t	a_0	0.17
243	0-a	?_.	0.24
243	.-r	0_#	0.03
244	z-C	l_#	1
245	f-p	l_#	0.21
246	E-4	h_l	0.26
247	E-4	h_l	0.26
248	.-h	#_&	0.08
249	.-h	#_a	0.08
249	a-&	._m	0.23
250	.-r	a_m	0.03
251	t-?	r_.	0.21
251	.-0	t_b	0.04
251	.-s	i_t	0.08
252	.-l	E_m	0.06
253	k-h	#_O	0.34
254	2-O	h_.	0.3
254	.-r	2_s	0.03
255	I-i	1_n	0.1
256	4-1	#_k	0.27
256	O-a	k_r	0.24
256	r-.	O_n	0.04
257	h-.	#_1	0.07
258	1-I	#_m	0.28
258	m-g	1_g	0.66
258	g-w	m_a	1
259	I-E	s_s	0.21
260	d-t	a_#	0.11
261	E-0	k_t	0.23
262	C-J	#_i	0.18
263	^-E	J_s	0.29
264	r-J	#_I	0.38
264	k-g	I_S	0.1
264	S-s	k_O	0.17
265	^-a	J_g	0.21
266	z-s	u_#	0.07
267	I-.	l_p	0.11
267	r-.	0_#	0.04
268	.-0	g_r	0.04
269	u-I	b_t	0.29
270	&-I	k_n	0.28
271	s-S	r_#	0.09
272	&-I	k_C	0.28
273	E-&	l_?	0.19
274	r-.	0_#	0.04
275	C-J	E_0	0.18
276	s-k	0_I	0.27
276	I-O	s_.	0.3
276	.-n	I_#	0.1
277	t-.	E_s	0.07
278	U-I	l_k	0.29
278	k-g	U_w	0.1
278	w-.	k_0	0.13
279	2-0	m_s	0.29
280	w-l	#_I	0.44
281	9-0	k_r	0.29
281	r-.	9_s	0.04
281	.-t	s_#	0.07
282	s-l	#_a	0.66
283	.-n	g_0	0.1
284	.-m	#_&	0.14
285	r-l	0_I	0.11
286	^-a	w_n	0.21
286	.-0	n_#	0.04
287	^-a	m_.	0.21
287	.-r	^_m	0.03
287	O-0	m_t	0.25
288	^-&	m_s	0.27
288	r-.	0_d	0.04
289	d-m	#_4	0.66
290	s-z	I_0	0.07
291	0-5	m_m	0.23
291	5-0	?_.	0.25
291	.-m	5_#	0.14
292	.-0	n_s	0.04
292	0-7	t_r	0.29
293	&-a	m_n	0.18
293	n-N	&_g	0.19
294	^-u	m_s	0.28
295	?-t	r_I	0.17
295	I-a	?_.	0.28
295	.-r	I_f	0.03
296	^-a	m_s	0.21
296	s-T	^_#	0.11
297	.-l	^_C	0.06
298	w-z	^_I	1
298	I-0	w_l	0
299	I-.	u_t	0.11
300	&-I	n_n	0.28
301	5-a	#_z	0.25
301	z-s	5_0	0.07
301	a-0	l_t	0.26
302	1-3	#_l	0.28
303	&-a	#_m	0.18
303	j-.	m_u	0.09
303	u-.	j_l	1
304	d-n	a_0	0.38
304	w-m	0_a	1
304	a-&	w_n	0.23
304	n-?	a_0	1
304	.-0	i_#	0.04
305	h-.	#_5	0.07
305	1-0	p_l	0.2
306	p-.	#_O	0.24
306	g-J	r_I	0.44
307	E-0	v_r	0.23
309	4-I	r_J	0.28
310	I-0	t_l	0
311	s-T	I_#	0.11
312	4-1	l_0	0.27
313	f-p	#_0	0.21
313	0-a	f_r	0.24
313	r-.	0_s	0.04
313	^-0	s_m	0.27
314	^-a	s_m	0.21
314	b-.	m_0	0.21
315	z-S	I_m	0.31
315	E-0	m_n	0.23
316	.-0	1_r	0.04
316	s-.	0_#	0.1
317	.-w	k_a	0.11
318	.-k	#_w	0.1
318	^-a	w_n	0.21
318	&-0	d_m	0.24
319	h-.	r_&	0.07
319	&-4	h_p	0.27
320	I-i	r_p	0.1
321	k-g	N_0	0.1
322	I-i	r_f	0.1
322	9-0	f_r	0.29
323	d-l	i_I	0.34
324	.-j	f_0	0.1
324	0-U	._r	0.29
324	r-J	0_i	0.38
325	v-b	I_0	0.18
325	.-d	l_r	0.11
326	.-0	k_S	0.04
326	O-4	S_#	0.29
327	S-s	^_t	0.17
328	5-0	s_f	0.25
328	.-I	r_#	0.1
329	^-a	s_m	0.21
330	.-s	#_k	0.08
330	.-r	k_O	0.03
331	t-k	s_r	0.14
332	i-0	d_m	0.26
332	E-0	m_n	0.23
333	4-E	s_m	0.28
333	b-.	m_0	0.21
334	t-n	0_7	0.34
335	.-0	n_t	0.04
335	O-0	t_r	0.25
336	i-.	S_&	0.29
337	i-I	S_E	0.15
337	E-.	i_v	1
338	s-S	#_5	0.09
338	a-0	f_r	0.26
339	.-t	r_#	0.07
340	a-O	S_.	0.25
340	.-r	a_t	0.03
341	5-a	S_.	0.25
341	.-t	5_g	0.07
342	.-I	s_m	0.1
342	1-0	m_l	0.2
342	.-i	l_#	0.13
343	d-t	l_#	0.11
344	D-d	5_0	0.05
345	O-a	s_D	0.24
345	D-d	O_0	0.05
346	.-w	s_a	0.11
346	I-4	r_#	0.28
347	E-a	s_l	0.27
347	l-.	E_f	0.08
348	.-s	#_.	0.08
348	.-p	._E	0.16
348	s-.	E_k	0.1
348	.-j	k_0	0.1
349	5-9	t_.	0.29
349	.-r	5_n	0.03
351	w-.	m_^	0.13
351	^-0	w_n	0.27
352	0-i	t_b	0.24
353	d-t	n_.	0.11
353	.-r	d_0	0.03
354	D-t	#_7	0.18
354	7-9	D_r	0.29
355	I-.	5_t	0.11
356	T-t	#_I	0.18
357	r-.	a_g	0.04
358	^-a	t_g	0.21
359	d-t	#_a	0.11
360	^-a	t_n	0.21
360	u-0	S_r	0.3
361	O-0	1_l	0.25
362	.-t	#_.	0.07
362	.-r	._2	0.03
363	J-C	r_I	0.2
364	u-U	j_r	0.29
365	w-v	#_i	0.08
366	w-v	#_E	0.08
366	E-&	w_n	0.19
367	m-v	#_0	1
368	l-v	#_&	0.44
369	f-v	#_i	0.17
370	.-v	#_.	0.34
370	.-0	._.	0.04
370	.-r	._m	0.03
371	J-Z	r_0	0.31
372	w-v	#_1	0.08
373	w-v	#_a	0.08
373	t-d	a_k	0.09
374	t-.	4_f	0.07
375	h-w	#_I	0.38
376	E-i	w_n	0.28
377	n-w	#_I	0.52
378	E-I	w_n	0.2
379	I-E	r_C	0.21
379	0-I	C_r	0.01
379	r-.	0_d	0.04
380	?-D	1_I	1
381	h-j	#_i	0.44
381	i-.	h_O	0.29
381	O-a	i_t	0.24
382	u-a	j_r	0.29
382	a-.	r_n	0.66
383	h-j	#_E	0.44
384	d-k	5_0	0.34
385	s-z	#_E	0.07
386	s-z	#_I	0.07
387	s-z	#_^	0.07
387	^-a	s_m	0.21
388	s-z	#_2	0.07
390	0-O	#_l	0.27
390	.-r	0_#	0.03
404	k-t	#_r	0.16
405	s-.	b_0	0.1
406	.-d	&_m	0.11
406	j-.	m_u	0.09
406	u-0	j_n	0.28
407	I-0	#_l	0
408	a-5	m_n	0.27
408	E-0	j_t	0.23
408	t-.	E_#	0.07
409	0-&	#_n	0.23
410	.-k	s_E	0.1
411	s-.	#_0	0.1
411	v-.	r_1	0.17
412	.-p	s_#	0.16
413	s-b	0_u	0.66
414	.-r	0_E	0.03
414	E-I	._t	0.2
415	^-O	b_b	0.28
416	d-b	#_4	0.21
417	p-b	#_i	0.14
418	N-n	i_z	0.14
419	a-i	b_r	0.3
420	^-I	b_g	0.27
421	1-a	l_n	0.23
422	E-4	r_d	0.26
423	0-a	r_z	0.24
423	z-Z	0_6	0.38
423	i-0	z_r	0.29
424	d-.	E_T	0.09
425	d-b	#_r	0.21
426	s-.	E_t	0.1
426	t-T	s_s	0.2
427	k-g	5_0	0.1
428	l-r	b_u	0.13
429	n-N	^_d	0.19
429	d-g	n_0	0.44
430	I-U	b_C	0.3
431	m-k	#_&	0.66
432	t-p	r_#	0.18
433	p-m	I_i	0.66
433	d-?	i_.	0.18
433	.-0	d_.	0.04
433	.-r	._#	0.03
434	.-m	I_p	0.14
435	&-I	C_n	0.28
435	.-t	n_s	0.07
436	r-l	k_2	0.11
437	d-.	l_#	0.09
438	d-t	l_#	0.11
439	m-n	a_p	0.14
439	p-d	m_l	1
439	l-.	p_I	0.08
440	.-0	k_.	0.04
440	.-n	._w	0.1
440	w-J	._E	0.66
441	h-k	#_5	0.38
442	C-k	#_a	0.52
442	a-O	C_r	0.25
442	g-s	r_0	1
442	0-I	g_z	0.01
442	z-t	0_#	1
443	s-t	r_a	0.44
443	a-E	s_Z	0.29
444	g-k	#_r	0.11
445	k-?	I_I	0.66
445	t-k	I_#	0.14
446	C-k	#_.	0.52
446	.-r	C_u	0.03
447	O-^	r_l	0.28
448	d-b	^_#	0.21
449	J-z	I_#	1
450	O-9	k_r	0.29
451	D-d	#_0	0.05
451	0-I	D_l	0.01
452	D-d	#_0	0.05
452	0-I	D_p	0.01
453	E-I	d_n	0.2
454	I-1	d_n	0.28
454	r-.	0_s	0.04
455	u-5	d_#	0.27
456	l-d	#_a	0.44
457	t-d	#_2	0.09
458	.-r	d_&	0.03
459	O-u	r_l	0.29
460	n-N	^_#	0.19
461	3-9	#_.	0.3
461	.-r	3_l	0.03
462	j-.	#_6	0.09
463	h-.	#_i	0.07
464	r-l	I_E	0.11
465	k-f	0_w	0.44
465	w-.	k_0	0.13
466	&-E	#_m	0.2
467	0-i	#_p	0.24
467	t-.	s_0	0.07
468	I-E	#_C	0.21
469	D-T	i_0	0.23
470	.-r	6_#	0.03
471	p-f	#_a	0.23
472	&-O	f_s	0.29
473	D-v	r_0	0.38
474	w-f	#_1	0.34
475	.-n	I_S	0.1
475	S-C	._#	0.19
476	g-S	I_j	1
476	j-.	g_0	0.09
477	v-f	#_.	0.14
477	.-l	v_1	0.06
478	h-f	#_5	0.52
479	4-3	f_b	0.29
480	T-t	r_#	0.18
481	O-2	f_l	0.29
482	u-2	f_l	0.29
483	E-a	r_n	0.27
484	.-f	#_j	0.27
485	.-m	4_#	0.14
486	0-3	g_l	0.3
487	f-g	#_u	0.52
488	d-g	#_.	0.44
488	.-l	d_&	0.06
489	.-g	#_r	0.18
489	r-l	._u	0.11
490	r-.	a_d	0.04
491	w-g	#_9	0.66
491	9-O	w_r	0.29
492	4-1	r_p	0.27
493	k-g	#_.	0.1
493	.-r	k_3	0.03
494	5-2	r_s	0.29
495	k-h	#_4	0.34
496	4-&	h_s	0.27
496	s-S	4_t	0.09
496	t-.	s_#	0.07
497	S-h	#_i	0.66
498	7-E	h_r	0.28
498	1-I	r_s	0.28
498	i-I	s_#	0.15
499	l-h	#_I	1
500	5-O	h_.	0.28
500	.-r	5_z	0.03
500	z-s	._I	0.07
501	E-^	h_l	0.26
502	n-r	0_#	0.31
503	I-9	h_.	0.3
503	.-r	I_?	0.03
504	b-.	#_1	0.21
505	m-.	#_I	0.19
506	.-I	#_.	0.1
506	.-m	._p	0.14
507	.-r	0_d	0.03
507	.-t	k_#	0.07
508	.-I	#_.	0.1
508	.-n	._v	0.1
509	w-.	#_9	0.13
510	h-.	k_E	0.07
510	E-0	h_l	0.23
511	r-J	#_&	0.38
512	t-J	#_I	1
513	b-J	#_^	1
514	d-t	l_#	0.11
515	s-.	#_k	0.1
516	^-0	d_m	0.27
517	p-k	#_I	0.23
518	&-E	J_s	0.2
519	&-I	l_m	0.28
520	.-d	n_0	0.11
521	t-p	s_#	0.18
522	l-.	0_m	0.08
523	E-a	l_J	0.27
524	m-l	#_u	0.38
525	a-^	l_s	0.26
526	t-k	I_4	0.14
527	h-.	n_u	0.07
527	u-0	h_p	0.28
528	1-I	m_l	0.28
529	&-I	m_r	0.28
529	I-a	r_J	0.28
529	J-Z	I_#	0.31
530	I-.	5_n	0.11
531	.-t	5_s	0.07
532	&-a	m_n	0.18
533	.-k	s_#	0.1
534	I-^	m_s	0.29
535	.-r	a_k	0.03
536	z-s	i_#	0.07
537	l-n	#_1	0.23
538	t-d	5_#	0.09
539	w-n	#_^	0.52
540	h-n	#_O	0.52
541	0-&	v_n	0.23
542	7-&	p_r	0.26
542	t-k	0_I	0.14
542	I-i	t_t	0.1
543	.-t	0_s	0.07
544	n-.	0_t	0.1
545	^-O	p_n	0.28
546	5-E	p_s	0.29
547	.-r	f_4	0.03
548	n-.	0_t	0.1
548	i-I	t_#	0.15
549	w-p	#_I	1
550	f-p	#_u	0.21
551	0-u	p_r	0.26
551	I-i	r_#	0.1
552	a-E	r_p	0.29
553	n-m	0_#	0.11
554	g-p	#_^	0.66
555	b-p	#_^	0.16
556	.-r	1_.	0.03
556	.-5	._m	0.24
557	.-w	k_4	0.11
558	b-k	#_.	0.52
558	.-w	b_&	0.11
558	&-O	._r	0.29
559	.-k	#_w	0.1
560	i-7	w_r	0.29
560	.-I	r_#	0.1
561	.-k	#_w	0.1
562	.-k	#_w	0.1
563	g-k	#_.	0.11
563	.-w	g_I	0.11
564	h-r	#_&	0.66
565	.-r	#_.	0.03
565	.-&	._.	0.52
565	.-k	._m	0.1
565	^-O	n_f	0.28
566	T-f	i_#	0.24
567	v-z	E_0	0.52
568	p-b	I_a	0.14
569	5-a	b_t	0.25
570	b-r	#_U	0.66
571	t-.	#_r	0.07
572	&-^	r_p	0.28
573	5-u	r_z	0.27
574	I-^	r_s	0.29
575	&-E	#_s	0.2
576	.-I	l_v	0.1
577	.-0	s_r	0.04
578	t-k	s_a	0.14
579	.-s	#_h	0.08
579	h-k	._a	0.38
579	0-I	l_t	0.01
580	S-s	#_.	0.17
580	.-k	S_9	0.1
580	9-7	._r	0.3
581	S-s	#_.	0.17
581	.-k	S_r	0.1
582	u-a	r_d	0.3
583	C-S	#_E	0.15
584	a-5	S_t	0.27
585	J-s	#_I	1
586	T-s	#_I	0.25
587	0-a	?_r	0.24
588	S-s	#_.	0.17
588	.-n	S_4	0.1
589	7-O	n_r	0.29
590	.-s	#_.	0.08
590	.-p	._1	0.16
591	a-O	p_.	0.25
591	.-r	a_t	0.03
592	.-s	#_k	0.08
592	.-w	k_I	0.11
593	^-a	t_k	0.21
594	.-s	#_w	0.08
595	O-&	t_.	0.27
595	.-l	O_k	0.06
596	m-t	#_&	1
597	p-t	#_4	0.31
598	1-i	t_m	0.28
599	0-.	t_i	0.07
600	s-z	n_#	0.07
601	I-O	r_l	0.3
602	r-t	#_1	0.52
603	n-t	#_1	0.66
603	n-m	1_#	0.11
604	n-m	0_#	0.11
605	b-t	#_^	0.38
606	k-f	1_u	0.44
607	r-.	#_^	0.04
607	.-r	0_#	0.03
608	O-u	j_r	0.29
609	.-t	I_#	0.07
610	b-v	#_4	0.44
611	b-v	#_1	0.44
611	.-t	k_#	0.07
612	s-.	#_p	0.1
612	p-v	s_1	0.66
613	0-.	1_l	0.07
613	I-.	l_n	0.11
613	n-.	I_z	0.1
614	w-v	#_I	0.08
615	f-v	#_a	0.17
616	f-v	#_O	0.17
616	O-5	f_l	0.26
617	9-O	w_r	0.29
618	t-h	#_8	1
618	u-O	t_r	0.29
619	l-w	#_1	0.25
620	v-w	#_1	1
621	w-r	#_I	0.21
622	s-T	u_#	0.11
623	s-z	#_i	0.07
623	i-I	s_n	0.15
631	.-s	#_t	0.08
632	0-E	t_r	0.26
632	r-l	0_#	0.11
633	.-h	0_E	0.08
633	v-f	E_0	0.14
634	h-.	p_I	0.07
635	h-.	#_I	0.07
635	I-&	h_m	0.26
636	.-O	g_r	0.52
636	I-0	r_#	0
637	^-a	b_.	0.21
637	.-r	^_?	0.03
638	.-l	b_&	0.06
639	I-1	d_l	0.28
639	1-4	l_?	0.26
640	.-d	#_r	0.11
641	&-^	r_g	0.28
642	n-.	#_E	0.1
642	s-m	E_0	1
642	0-I	s_s	0.01
643	u-3	f_l	0.3
644	T-f	#_r	0.24
645	.-g	#_&	0.18
646	r-.	0_z	0.04
646	z-s	r_#	0.07
647	k-.	#_0	0.18
647	0-I	k_n	0.01
648	g-t	I_4	0.66
649	.-z	E_b	0.25
649	.-i	b_0	0.13
649	i-.	n_z	0.29
649	z-.	i_#	0.21
650	O-5	#_f	0.26
650	f-v	O_0	0.17
651	r-w	k_4	0.14
651	I-1	z_#	0.28
652	.-k	#_.	0.1
652	.-w	._i	0.11
653	d-k	#_.	0.34
653	.-w	d_6	0.11
654	5-u	r_m	0.27
654	n-.	&_?	0.1
655	h-t	#_a	0.44
656	s-S	n_E	0.09
657	z-D	5_d	0.44
658	E-I	m_n	0.2
659	E-^	m_s	0.26
660	b-p	#_O	0.16
661	^-&	r_f	0.27
662	4-i	r_p	0.27
663	l-n	E_0	0.23
663	?-d	4_I	0.12
664	^-E	S_t	0.29
664	t-d	^_#	0.09
665	.-J	n_d	0.34
666	^-O	f_.	0.28
666	.-r	^_k	0.03
667	I-i	k_l	0.1
668	.-0	#_k	0.04
669	d-.	#_I	0.09
669	I-0	d_n	0
669	n-b	I_a	0.52
670	E-4	#_g	0.26
670	g-k	E_z	0.11
670	z-s	g_#	0.07
671	E-O	#_l	0.3
672	E-&	#_l	0.19
672	0-I	l_v	0.01
672	v-g	0_4	0.66
673	&-4	#_n	0.27
674	&-4	#_N	0.27
674	N-n	&_g	0.14
